text,textblob_sentiment,nltk_sentiment,google_sentiment,Researcher_label
SCARYâ€”8 new strains now: Johnson &amp; Johnson: Says not sure vaccine  works ! Vaccine  for COVID-19; Trump to Supply One Billion Vaccines Worldwide @SpeakerPelosi @NitaLowey @SenSchumer @sfpelosi @AdamSchiff â¦@USDCCircuitCtâ© @ChiefJusticeJR @Reuters @AP https://t.co/QjOqvN3lUt,"Sentiment(polarity=-0.08806818181818182, subjectivity=0.6717171717171717)",Positive,"-0.10000000149011612,0.20000000298023224",Negative
RT @LizzyBrock: @miarussostern @Apple @NorthwellHealth Please help @AppleSupport @Apple #covid19 our hospital needs iPads with front facingâ€¦,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.4000000059604645,0.4000000059604645",Negative
"RT @lekwilliams: ""Lirio Tigre de #Bangkok "", Lily naciÃ³ en una aldea al noreste de #Tailandia en una familia china, propietarios de una tieâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.20000000298023224,0.20000000298023224",Neutral
"RT @mmpadellan: When this is all over, and it WILL be, I will never forgive or forget trump's refusal to take coronavirus seriously.

I wonâ€¦","Sentiment(polarity=-0.3333333333333333, subjectivity=0.6666666666666666)",Negative,"0.0,1.600000023841858",Negative
"RT @scrowder: LAST WEEK: Trump mocked for suggesting ""sanitizing masks"" and the drug Chloroquine. TODAY: Technology can sanitize 120,000 maâ€¦","Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",Positive,"-0.30000001192092896,0.8999999761581421",Positive
RT @EllenKurz: If we lose the US Postal Service then America has literally lost its ability to deliver democracy in November. https://t.co/â€¦,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.30000001192092896,1.0",Negative
"RT @rolandsmartin: Albany, Ga. Coroner Michael Fowler just said on #RolandMartinUnfiltered that 30 people have died in Dougherty County, agâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.20000000298023224,0.6000000238418579",Negative
"How to stay safe as a survivor during #StayHomeMN: If you are experiencing violence, call the Minnesota Day One Crisis Line at 866-223-1111 or visit their website: https://t.co/yN9azPPUxc

#COVID19 https://t.co/JcoF9Lotib","Sentiment(polarity=0.5, subjectivity=0.5)",Positive,"0.0,0.4000000059604645",Neutral
"RT @RobertArea45: Miss Feces Of The House

The San Francisco Human Shit
@SpeakerPelosiâ©
@realDonaldTrumpâ© delay in the handling of the #corâ€¦","Sentiment(polarity=-0.1, subjectivity=0.45)",Negative,"-0.20000000298023224,0.6000000238418579",Negative
"RT @DailyCaller: Dr. Birx is asked about the government's early response to the coronavirus outbreak.

She says that they thought it wouldâ€¦","Sentiment(polarity=0.1, subjectivity=0.3)",Positive,"-0.10000000149011612,0.20000000298023224",Neutral
"RT @andresegura: @KenPaxtonTX Remember that during this pandemic, these extremists like @KenPaxtonTX @GovAbbott used it as an opportunity tâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071",Negative
"RT @JimDelRey: Shorter Larry Tribe: Impeach Trump For Being Not-Psychic!

https://t.co/HXIAc7gadh","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.30000001192092896,0.6000000238418579",Neutral
RT @Chayyslayys: It always gotta be us . Why bum fuck Florida canâ€™t fucking listen . Iâ€™m ready to go,"Sentiment(polarity=-0.26666666666666666, subjectivity=0.6333333333333333)",Positive,"0.0,2.0",Negative
"RT @knicole_a: My uncle was tested positive for COVID-19 last week. By Sunday he was hospitalized and on a ventilator. This morning, my couâ€¦","Sentiment(polarity=0.11363636363636363, subjectivity=0.30606060606060603)",Positive,"0.0,0.10000000149011612",Negative
"RT @ScottPresler: @realDonaldTrump In Virginia, democrat Governor Ralph Northam issued a stay-at-home order 

until June 10th, 

despite thâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.0,0.20000000298023224",Neutral
"Are you wondering about the efficacy of wearing a face mask? Heres what several experts and @realDonaldTrump said about it.

#coronavirus 
https://t.co/HlDjZm8Ulv","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.10000000149011612,0.6000000238418579",Neutral
"Very powerful testimony by an ICU nurse, backed up by many similar stories in the comments: our frontline hospital medical staff are not being protected. This MUST be priority number 1 or many more will die. #COVID19 #CDC https://t.co/KKV8FfWRD7","Sentiment(polarity=0.315, subjectivity=0.48333333333333334)",Positive,"-0.20000000298023224,1.100000023841858",Negative
@BretBaier @OutnumberedFNC It was must see tv for awhile until the usual suspects took over. #COVID19,"Sentiment(polarity=-0.25, subjectivity=0.25)",Positive,"0.10000000149011612,0.30000001192092896",Negative
RT @tedlieu: Appears @senatemajldr McConnnell can no longer defend the initial catastrophic failure of @realDonaldTrump in addressing the #â€¦,"Sentiment(polarity=-0.15833333333333335, subjectivity=0.15)",Positive,"-0.5,0.5",Negative
RT @HariZiyad: Itâ€™s genius. Take systemic state failures to prepare for a pandemic &amp; make them a problem of individual actions (if you donâ€™â€¦,"Sentiment(polarity=0.0, subjectivity=0.4)",Positive,"0.0,1.600000023841858",Negative
RT @ABC7NY: Coronavirus: Friends hope COVID-19 death of 34-year-old Southern California man can serve as warning https://t.co/hHohyQBX3P htâ€¦,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.20000000298023224,0.20000000298023224",Negative
RT @chicagotribune: Empty streets. Deserted public spaces. This aerial video by @ZBzdak shows what Chicago looks like during a pandemic.â€¦,"Sentiment(polarity=-0.05, subjectivity=0.2833333333333333)",Positive,"-0.10000000149011612,0.699999988079071",Negative
"Whatâ€™s the thing you are craving now, that you never craved pre-pandemic?  Mine is cookies.","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.10000000149011612,0.20000000298023224",Positive
RT @thechinacurrent: Ted and his family have spent most of this month inside their apartment in China â€” living in temporary isolation due tâ€¦,"Sentiment(polarity=0.09166666666666667, subjectivity=0.325)",Positive,"-0.5,0.5",Neutral
RT @RepSwalwell: A nurse at @nyphospital has been told she must wear the same protective mask every day. No new masks will be issued. She &amp;â€¦,"Sentiment(polarity=-0.03409090909090909, subjectivity=0.2897727272727273)",Positive,"-0.5,1.7000000476837158",Negative
"RT @8NEWS: The group of approximately 70 adults in their 20s left for a spring break trip to Cabo San Lucas, Mexico. Currently, 28 of the 7â€¦","Sentiment(polarity=-0.13333333333333333, subjectivity=0.3333333333333333)",Positive,"0.0,0.10000000149011612",Neutral
"RT @w_terrence: OBAMA GO AWAY

Why are you trying to suggest what President Trump should do &amp; using this pandemic to push an agenda ?

YOUâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.20000000298023224,1.0",Negative
"RT @AmoneyResists: Trump held rallies on:
â€”Jan 9th
â€”Jan 14th
â€”Jan 28th
â€”Jan 30th
â€”Feb 10th
â€”Feb 19th
â€”Feb 20th
â€”Feb 21st
â€”Feb 28th

He golfâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.10000000149011612,0.20000000298023224",Neutral
