text,textblob_sentiment,nltk_sentiment,"google_sentiment(sentiment,magnitude)"
SCARY—8 new strains now: Johnson &amp; Johnson: Says not sure vaccine  works ! Vaccine  for COVID-19; Trump to Supply One Billion Vaccines Worldwide @SpeakerPelosi @NitaLowey @SenSchumer @sfpelosi @AdamSchiff ⁦@USDCCircuitCt⁩ @ChiefJusticeJR @Reuters @AP https://t.co/QjOqvN3lUt,"Sentiment(polarity=-0.08806818181818182, subjectivity=0.6717171717171717)",Positive,"-0.10000000149011612,0.20000000298023224"
RT @LizzyBrock: @miarussostern @Apple @NorthwellHealth Please help @AppleSupport @Apple #covid19 our hospital needs iPads with front facing…,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.4000000059604645,0.4000000059604645"
"RT @lekwilliams: ""Lirio Tigre de #Bangkok "", Lily nació en una aldea al noreste de #Tailandia en una familia china, propietarios de una tie…","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.20000000298023224,0.20000000298023224"
"RT @mmpadellan: When this is all over, and it WILL be, I will never forgive or forget trump's refusal to take coronavirus seriously.

I won…","Sentiment(polarity=-0.3333333333333333, subjectivity=0.6666666666666666)",Negative,"0.0,1.600000023841858"
"RT @scrowder: LAST WEEK: Trump mocked for suggesting ""sanitizing masks"" and the drug Chloroquine. TODAY: Technology can sanitize 120,000 ma…","Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",Positive,"-0.30000001192092896,0.8999999761581421"
RT @EllenKurz: If we lose the US Postal Service then America has literally lost its ability to deliver democracy in November. https://t.co/…,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.30000001192092896,1.0"
"RT @rolandsmartin: Albany, Ga. Coroner Michael Fowler just said on #RolandMartinUnfiltered that 30 people have died in Dougherty County, ag…","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.20000000298023224,0.6000000238418579"
"How to stay safe as a survivor during #StayHomeMN: If you are experiencing violence, call the Minnesota Day One Crisis Line at 866-223-1111 or visit their website: https://t.co/yN9azPPUxc

#COVID19 https://t.co/JcoF9Lotib","Sentiment(polarity=0.5, subjectivity=0.5)",Positive,"0.0,0.4000000059604645"
"RT @RobertArea45: Miss Feces Of The House

The San Francisco Human Shit
@SpeakerPelosi⁩
@realDonaldTrump⁩ delay in the handling of the #cor…","Sentiment(polarity=-0.1, subjectivity=0.45)",Negative,"-0.20000000298023224,0.6000000238418579"
"RT @DailyCaller: Dr. Birx is asked about the government's early response to the coronavirus outbreak.

She says that they thought it would…","Sentiment(polarity=0.1, subjectivity=0.3)",Positive,"-0.10000000149011612,0.20000000298023224"
"RT @andresegura: @KenPaxtonTX Remember that during this pandemic, these extremists like @KenPaxtonTX @GovAbbott used it as an opportunity t…","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071"
"RT @JimDelRey: Shorter Larry Tribe: Impeach Trump For Being Not-Psychic!

https://t.co/HXIAc7gadh","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.30000001192092896,0.6000000238418579"
RT @Chayyslayys: It always gotta be us . Why bum fuck Florida can’t fucking listen . I’m ready to go,"Sentiment(polarity=-0.26666666666666666, subjectivity=0.6333333333333333)",Positive,"0.0,2.0"
"RT @knicole_a: My uncle was tested positive for COVID-19 last week. By Sunday he was hospitalized and on a ventilator. This morning, my cou…","Sentiment(polarity=0.11363636363636363, subjectivity=0.30606060606060603)",Positive,"0.0,0.10000000149011612"
"RT @ScottPresler: @realDonaldTrump In Virginia, democrat Governor Ralph Northam issued a stay-at-home order 

until June 10th, 

despite th…","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.0,0.20000000298023224"
"Are you wondering about the efficacy of wearing a face mask? Heres what several experts and @realDonaldTrump said about it.

#coronavirus 
https://t.co/HlDjZm8Ulv","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.10000000149011612,0.6000000238418579"
"Very powerful testimony by an ICU nurse, backed up by many similar stories in the comments: our frontline hospital medical staff are not being protected. This MUST be priority number 1 or many more will die. #COVID19 #CDC https://t.co/KKV8FfWRD7","Sentiment(polarity=0.315, subjectivity=0.48333333333333334)",Positive,"-0.20000000298023224,1.100000023841858"
@BretBaier @OutnumberedFNC It was must see tv for awhile until the usual suspects took over. #COVID19,"Sentiment(polarity=-0.25, subjectivity=0.25)",Positive,"0.10000000149011612,0.30000001192092896"
RT @tedlieu: Appears @senatemajldr McConnnell can no longer defend the initial catastrophic failure of @realDonaldTrump in addressing the #…,"Sentiment(polarity=-0.15833333333333335, subjectivity=0.15)",Positive,"-0.5,0.5"
RT @HariZiyad: It’s genius. Take systemic state failures to prepare for a pandemic &amp; make them a problem of individual actions (if you don’…,"Sentiment(polarity=0.0, subjectivity=0.4)",Positive,"0.0,1.600000023841858"
RT @ABC7NY: Coronavirus: Friends hope COVID-19 death of 34-year-old Southern California man can serve as warning https://t.co/hHohyQBX3P ht…,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.20000000298023224,0.20000000298023224"
RT @chicagotribune: Empty streets. Deserted public spaces. This aerial video by @ZBzdak shows what Chicago looks like during a pandemic.…,"Sentiment(polarity=-0.05, subjectivity=0.2833333333333333)",Positive,"-0.10000000149011612,0.699999988079071"
"What’s the thing you are craving now, that you never craved pre-pandemic?  Mine is cookies.","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.10000000149011612,0.20000000298023224"
RT @thechinacurrent: Ted and his family have spent most of this month inside their apartment in China — living in temporary isolation due t…,"Sentiment(polarity=0.09166666666666667, subjectivity=0.325)",Positive,"-0.5,0.5"
RT @RepSwalwell: A nurse at @nyphospital has been told she must wear the same protective mask every day. No new masks will be issued. She &amp;…,"Sentiment(polarity=-0.03409090909090909, subjectivity=0.2897727272727273)",Positive,"-0.5,1.7000000476837158"
"RT @8NEWS: The group of approximately 70 adults in their 20s left for a spring break trip to Cabo San Lucas, Mexico. Currently, 28 of the 7…","Sentiment(polarity=-0.13333333333333333, subjectivity=0.3333333333333333)",Positive,"0.0,0.10000000149011612"
"RT @w_terrence: OBAMA GO AWAY

Why are you trying to suggest what President Trump should do &amp; using this pandemic to push an agenda ?

YOU…","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.20000000298023224,1.0"
"RT @AmoneyResists: Trump held rallies on:
—Jan 9th
—Jan 14th
—Jan 28th
—Jan 30th
—Feb 10th
—Feb 19th
—Feb 20th
—Feb 21st
—Feb 28th

He golf…","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.10000000149011612,0.20000000298023224"
"RT @janicewasabi: Prince Edward tonight:
police stopped passerby and demanded 5 random people to stand in a group, then charged them all im…","Sentiment(polarity=-0.5, subjectivity=0.5)",Negative,"-0.699999988079071,0.699999988079071"
"Those aren’t thoughts, they’re literally the echo of a child, split into binary outcomes.

“Could be good.”
“Could be bad.”

Step aside, Friedrich Nietzsche! https://t.co/Z0oMXFMwMz","Sentiment(polarity=-0.08749999999999991, subjectivity=0.6333333333333333)",Negative,"-0.10000000149011612,2.0999999046325684"
"RT @seanhannity: SAY WHAT? Biden Labels Trump’s Virus Restrictions ‘Hysterical Xenophobia,’ Calls CVS ‘CVC’ and Wuhan ‘Luhan’ https://t.co/…","Sentiment(polarity=-1.0, subjectivity=1.0)",Positive,"0.0,0.20000000298023224"
"RT @MrJonCryer: Sorry, but months into a pandemic is too late to care about a change in “tone”","Sentiment(polarity=-0.4, subjectivity=0.8)",Negative,"-0.800000011920929,0.800000011920929"
"RT @ashahshahani: BREAKING: an employee at the deadly Stewart Detention Center has tested positive for COVID-19.

It is now even more urgen…","Sentiment(polarity=0.10681818181818181, subjectivity=0.38636363636363635)",Negative,"-0.30000001192092896,0.699999988079071"
RT @RollaElabbasi: @NYGovCuomo Many listed #Essential businesses are actually #NonEssential. #StopTheSpread by having a full lockdown for #…,"Sentiment(polarity=0.2125, subjectivity=0.36250000000000004)",Positive,"-0.10000000149011612,0.30000001192092896"
"RT @maddow: In addition to the ventilators HHS hasn't told them to send anywhere, DOD also has more than a dozen labs that could process CO…","Sentiment(polarity=0.5, subjectivity=0.5)",Negative,"-0.20000000298023224,0.20000000298023224"
"As Trump stands there saying "" Here.  Hold my beer. "" https://t.co/9KgFArzBV4","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.10000000149011612"
"RT @EricBoehlert: it's distressing to see some journalists clinging to idea there's still hope Trump will lead the nation during pandemic,…","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.699999988079071,0.699999988079071"
@ASavageNation featured on Netflix thinks he has found 'cure' for coronavirus https://t.co/VwmTZddIpR @MailOnline,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.10000000149011612,0.10000000149011612"
RT @DanCrenshawTX: Lies.  Propaganda. The CCP has tried to make itself the victim - and the hero - while deceiving the world about the orig…,"Sentiment(polarity=-0.08750000000000001, subjectivity=0.07500000000000001)",Positive,"-0.30000001192092896,1.5"
"RT @MPI: Steve O'Malley, MPI Board Chair of the International Board of Directors, speaks to the role of the board during these uncertain ti…","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0"
"RT @PrisonPlanet: Chinese factory worker rubbing face masks on his shoes in display of global unity over corona pandemic. All hail CCP.

ht…","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,1.100000023841858"
"RT @JoeBiden: In the midst of a pandemic, the Trump Administration chose to expend effort to attempt to disestablish the Mashpee Wampanoag…","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.30000001192092896,0.30000001192092896"
"#Tucker calling out @WHO as a mouthpiece of China! They kiss Chinese ass everyday. CHINA LIED, PEOPLE DIED! 😡😡😡😡😡😡😡😡","Sentiment(polarity=-0.125, subjectivity=0.3)",Negative,"-0.10000000149011612,1.399999976158142"
RT @JoeNBC: Can anyone explain why Ron DeSantis has been so reckless during the crisis? He’s playing with fire and the deaths of so many Fl…,"Sentiment(polarity=0.5, subjectivity=0.5)",Positive,"-0.800000011920929,1.600000023841858"
@bio23_bi3 @CalebJHull And China is why we are in this mess.,"Sentiment(polarity=-0.175, subjectivity=0.175)",Negative,"-0.699999988079071,0.699999988079071"
Hope so https://t.co/i8SalLe5FN,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.4000000059604645,0.4000000059604645"
RT @ElginPD: We are going through neighborhoods for a socially distant parade of public safety vehicles 2x/week during the #StayatHome orde…,"Sentiment(polarity=-0.11666666666666665, subjectivity=0.21666666666666665)",Negative,"0.0,0.0"
"RT @NorbertElekes: NEW: 101-year-old Dutch woman, who was born during the Spanish flu, has recovered from coronavirus illness. https://t.co…","Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)",Negative,"0.10000000149011612,0.30000001192092896"
"RT @Lrihendry: Folks, remember that CNN decided not to allow the President of the United States to inform the American people on the corona…","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.6000000238418579,0.6000000238418579"
RT @jgeltzer: “The problem wasn’t impeachment—it was the president. There was never any chance that the govt was going to take sufficient a…,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.5,1.100000023841858"
Nancy’s “Virus pens” filled with Covid-19 ink. https://t.co/Fb6l05tffD,"Sentiment(polarity=0.4, subjectivity=0.9)",Negative,"0.0,0.800000011920929"
RT @MedSupplyDrive: @ProjectPPEact pays laid off garment workers to cut and sew gowns that are essential pieces of PPE for medical professi…,"Sentiment(polarity=0.0, subjectivity=0.15)",Negative,"-0.20000000298023224,0.20000000298023224"
Good! I hope Fox finally gets what it deserves. https://t.co/mHOUrXsOgx,"Sentiment(polarity=0.4375, subjectivity=0.8)",Positive,"0.20000000298023224,1.7999999523162842"
"RT @eugenegu: @realDonaldTrump And right now in the middle of the worst pandemic in modern history, people are not at all concerned about b…","Sentiment(polarity=-0.12857142857142856, subjectivity=0.4589285714285714)",Negative,"-0.699999988079071,0.699999988079071"
RT @joncoopertweets: Fox News purportedly bracing for “legal bloodbath” after peddling coronavirus disinformation  https://t.co/IRjjvq0ty7,"Sentiment(polarity=0.2, subjectivity=0.2)",Negative,"-0.6000000238418579,0.6000000238418579"
Please remind everyone!!! https://t.co/WFuo2ZmMlD,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.10000000149011612,0.5"
"RT @kayleighmcenany: BOOM: @realDonaldTrump obliterates CNN ⬇️

""I want to keep the country calm.""

The coronavirus ""will go away.""

""We're…","Sentiment(polarity=0.30000000000000004, subjectivity=0.75)",Positive,"0.0,1.2999999523162842"
"RT @BlueTX2020: Too distracted to deal with  #coronavirus but not too distracted to hold multiple rallies or play 6 rounds of golf. 

#COVI…","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.0,0.4000000059604645"
"RT @rww_gop: .@realdonaldtrump is committed to fighting for small businesses.
 
Here are the details of how small-business owners can acces…","Sentiment(polarity=-0.25, subjectivity=0.4)",Positive,"0.0,0.699999988079071"
RT @1800PetMeds: 19 Pets Who Are Saving Their Owners From Lockdown Boredom - https://t.co/Yfu05cDbzl,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.20000000298023224,0.20000000298023224"
RT @funder: Donald Trump should be arrested for his fraud and lies regarding coronavirus.,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.800000011920929,0.800000011920929"
